1-double: 28 gates, 14 CNOTs
[RL_prune_1double_chem_s0] upd 1/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 2/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 3/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 4/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 5/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 6/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 7/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 8/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 9/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 10/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 11/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 12/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 13/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 14/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 15/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 16/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 17/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 18/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 19/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 20/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 21/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 22/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 23/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 24/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 25/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 26/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 27/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 28/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 29/30 | best 7 CNOTs | 1.4677 mHa | exact=False
[RL_prune_1double_chem_s0] upd 30/30 | best 7 CNOTs | 1.4677 mHa | exact=False
*** WIN: ['lower error than greedy-1double at chem acc', 'fewer CNOTs than greedy-ADAPT'] {'energy': -7.636077016287985, 'error_vs_fci': 0.0014677295660856515, 'err_mHa': 1.4677295660856515, 'cnots': 7, 'n_gates': 17, 'within_chem_acc': True, 'within_exact': False, 'label': 'RL_prune_1double_chem_s0', 'update': 16, 'seed': 0, 'target': 'chem', 'wins_vs_greedy': ['lower error than greedy-1double at chem acc', 'fewer CNOTs than greedy-ADAPT'], 'seconds': 1122.9561673749995}
[RL_prune_1double_exact_s0] upd 1/30 | best 14 CNOTs | inf mHa | exact=False
[RL_prune_1double_exact_s0] upd 2/30 | best 14 CNOTs | inf mHa | exact=False
[RL_prune_1double_exact_s0] upd 3/30 | best 14 CNOTs | inf mHa | exact=False
[RL_prune_1double_exact_s0] upd 4/30 | best 14 CNOTs | inf mHa | exact=False
